repository_name,repository_url,project_name,category,scorecard_score,criticality_score
ADGEfficiency/energy-py,https://github.com/ADGEfficiency/energy-py,energy-py,Other,3.4,0.24724
AntaresSimulatorTeam/Antares_Simulator,https://github.com/AntaresSimulatorTeam/Antares_Simulator,Antares Simulator,Other,5.3,0.46824
Azure/opendigitaltwins-energygrid,https://github.com/Azure/opendigitaltwins-energygrid,Digital Twins Definition Language ontology for Energy Grid,Other,3.4,0.28509
BEMRosetta/BEMRosetta,https://github.com/BEMRosetta/BEMRosetta,BEMRosetta,Other,3.3,0.27593
BattMoTeam/BattMo,https://github.com/BattMoTeam/BattMo,BattMo,Batteries,3.7,0.36438
BioSTEAMDevelopmentGroup/biosteam,https://github.com/BioSTEAMDevelopmentGroup/biosteam,biosteam,Other,4.5,0.43536
BreakingBytes/pvfree,https://github.com/BreakingBytes/pvfree,PV Free,Other,4.6,0.30823
Breakthrough-Energy/PowerSimData,https://github.com/Breakthrough-Energy/PowerSimData,PowerSimData,Simulation,4.5,0.34374
Breakthrough-Energy/REISE.jl,https://github.com/Breakthrough-Energy/REISE.jl,REISE.jl,Simulation,4.0,0.29435
Breakthrough-Energy/REISE.jl,https://github.com/Breakthrough-Energy/REISE.jl,REISE.jl,Simulation,4.0,0.29435
BrickSchema/Brick,https://github.com/BrickSchema/Brick,Brick,Other,4.8,0.41478
CalebBell/thermo,https://github.com/CalebBell/thermo,thermo,Other,2.3,0.39064
CalebBell/thermo,https://github.com/CalebBell/thermo,thermo,Other,2.3,0.39064
CenterForTheBuiltEnvironment/clima,https://github.com/CenterForTheBuiltEnvironment/clima,CBE Clima Tool,Other,4.5,0.33221
CenterForTheBuiltEnvironment/comfort_tool,https://github.com/CenterForTheBuiltEnvironment/comfort_tool,comfort_tool,Other,4.3,0.3704
DemandRegioTeam/disaggregator,https://github.com/DemandRegioTeam/disaggregator,disaggregator,Other,3.1,0.2841
DuraMAT/pv-terms,https://github.com/DuraMAT/pv-terms,pv-terms,Other,2.9,0.26442
ECSHackWeek/impedance.py,https://github.com/ECSHackWeek/impedance.py,impedance.py,Other,4.2,0.39818
ECSIM/gopem,https://github.com/ECSIM/gopem,gopem,Other,4.3,0.31434
ECSIM/opem,https://github.com/ECSIM/opem,OPEM,Other,4.2,0.34891
EDF-TREE/BuildSysPro,https://github.com/EDF-TREE/BuildSysPro,BuildSysPro,Other,1.4,0.32725
EMLab/emlab-generation,https://github.com/EMLab/emlab-generation,emlab-generation,Modeling,2.6,0.23344
EPGOxford/OPEN,https://github.com/EPGOxford/OPEN,OPEN,Other,2.3,0.26488
EcotopeResearch/HPWHsim,https://github.com/EcotopeResearch/HPWHsim,HPWHsim,Other,5.4,0.39654
ElektrikAkar/3d_milp,https://github.com/ElektrikAkar/3d_milp,3d_milp,Other,1.5,0.20768
EnergieID/entsoe-py,https://github.com/EnergieID/entsoe-py,entsoe-py,Other,3.9,0.46402
Energy-Innovation/eps-us,https://github.com/Energy-Innovation/eps-us,Energy Policy Simulator,Other,2.8,0.34368
Energy-Sparks/energy-sparks,https://github.com/Energy-Sparks/energy-sparks,energy-sparks,Other,6.9,0.39828
EnergyTransition/ESDL,https://github.com/EnergyTransition/ESDL,ESDL,Other,4.3,0.33283
EnnoidMe/ENNOID-BMS,https://github.com/EnnoidMe/ENNOID-BMS,ENNOID-BMS,Batteries,2.6,0.24796
Exawind/amr-wind,https://github.com/Exawind/amr-wind,amr-wind,Other,7.0,0.44748
Exawind/nalu-wind,https://github.com/Exawind/nalu-wind,nalu-wind,Other,6.3,
FZJ-IEK3-VSA/FINE,https://github.com/FZJ-IEK3-VSA/FINE,FINE,Modeling,4.9,0.37817
FZJ-IEK3-VSA/HIM,https://github.com/FZJ-IEK3-VSA/HIM,HIM,Other,2.6,0.25545
FZJ-IEK3-VSA/HiSim,https://github.com/FZJ-IEK3-VSA/HiSim,HiSim,Other,4.9,0.37386
FZJ-IEK3-VSA/LoadProfileGenerator,https://github.com/FZJ-IEK3-VSA/LoadProfileGenerator,LoadProfileGenerator,Other,3.9,0.26601
FZJ-IEK3-VSA/glaes,https://github.com/FZJ-IEK3-VSA/glaes,GLAES,Other,4.0,0.30688
FZJ-IEK3-VSA/tsam,https://github.com/FZJ-IEK3-VSA/tsam,tsam,Other,3.9,0.40576
FZJ-IEK3-VSA/tsib,https://github.com/FZJ-IEK3-VSA/tsib,tsib,Other,1.6,0.27226
FZJ-IEK3-VSA/tsib,https://github.com/FZJ-IEK3-VSA/tsib,tsib,Other,1.6,0.27226
FlexiGIS/FlexiGIS,https://github.com/FlexiGIS/FlexiGIS,FlexiGIS,Other,2.2,0.30513
GMLC-TDC/HELICS,https://github.com/GMLC-TDC/HELICS,HELICS,Simulation,6.5,0.44698
GenXProject/GenX,https://github.com/GenXProject/GenX,GenX,Other,5.6,0.40158
GridProtectionAlliance/SIEGate,https://github.com/GridProtectionAlliance/SIEGate,SIEGate,Other,3.9,0.34916
GridProtectionAlliance/gsf,https://github.com/GridProtectionAlliance/gsf,GSF,Other,7.1,0.46527
GridProtectionAlliance/openHistorian,https://github.com/GridProtectionAlliance/openHistorian,openHistorian,Other,6.3,0.43689
GridProtectionAlliance/openPDC,https://github.com/GridProtectionAlliance/openPDC,openPDC,Other,5.4,0.42715
GridProtectionAlliance/openXDA,https://github.com/GridProtectionAlliance/openXDA,openXDA,Other,3.7,0.4291
HIT2GAP-EU-PROJECT/bemserver,https://github.com/HIT2GAP-EU-PROJECT/bemserver,BEMServer,Other,1.9,0.26119
HotMaps/Hotmaps-toolbox-service,https://github.com/HotMaps/Hotmaps-toolbox-service,Hotmaps,Other,1.4,0.31672
IAMconsortium/pyam,https://github.com/IAMconsortium/pyam,pyam,Other,5.9,0.42011
IAMconsortium/pyam,https://github.com/IAMconsortium/pyam,pyam,Other,5.9,0.42011
IBM/rl-testbed-for-energyplus,https://github.com/IBM/rl-testbed-for-energyplus,rl-testbed-for-energyplus,Other,5.2,0.35137
ICWallis/fractoolbox,https://github.com/ICWallis/fractoolbox,fractoolbox,Other,2.7,0.24506
IDAES/idaes-pse,https://github.com/IDAES/idaes-pse,The IDAES Toolkit,Other,4.8,0.45724
IEA-Task-43/digital_wra_data_standard,https://github.com/IEA-Task-43/digital_wra_data_standard,Digital WRA Data Standards,Other,4.2,0.39428
IEAWindTask37/IEA-15-240-RWT,https://github.com/IEAWindTask37/IEA-15-240-RWT,IEA-15-240-RWT,Other,4.1,0.35596
IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,openTEPES,Other,4.2,0.39346
IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,openTEPES,Other,4.2,0.39346
ImperialCollegeLondon/sharpy,https://github.com/ImperialCollegeLondon/sharpy,SHARPy,Other,4.9,0.40112
JGCRI/gcam-core,https://github.com/JGCRI/gcam-core,GCAM,Modeling,2.9,0.51856
Japhiolite/geothermics,https://github.com/Japhiolite/geothermics,geothermics,Other,2.9,0.26416
JuliaEnergy/Joulia.jl,https://github.com/JuliaEnergy/Joulia.jl,Joulia.jl,Other,2.6,0.18681
JuliaEnergy/PowerDynamics.jl,https://github.com/JuliaEnergy/PowerDynamics.jl,PowerDynamics.jl,Other,5.4,0.44445
KTH-dESA/OnSSET-2016,https://github.com/KTH-dESA/OnSSET-2016,OnSSET,Optimization,2.4,0.28681
LBNL-ETA/MSWH,https://github.com/LBNL-ETA/MSWH,Multiscale Solar Water Heating,Other,2.6,0.30198
LBNL-JCI-ICF/better,https://github.com/LBNL-JCI-ICF/better,BETTER,Other,2.3,0.25051
LBNL-UCB-STI/beam,https://github.com/LBNL-UCB-STI/beam,BEAM,Other,3.3,0.48608
LibreSolar/bms-firmware,https://github.com/LibreSolar/bms-firmware,LibreSolar,Other,3.8,0.31535
LibreSolar/charge-controller-firmware,https://github.com/LibreSolar/charge-controller-firmware,Charge Controller Firmware,Other,3.4,0.30662
Lkruitwagen/solar-pv-global-inventory,https://github.com/Lkruitwagen/solar-pv-global-inventory,"A Global Inventory of Commerical-, Industrial-, and Utility-Scale Photovoltaic Solar Generating Units",Other,1.5,0.25265
MATPOWER/matpower,https://github.com/MATPOWER/matpower,MATPOWER,Simulation,4.2,0.43318
MATPOWER/matpower,https://github.com/MATPOWER/matpower,MATPOWER,Simulation,4.2,0.43318
MHKiT-Software/MHKiT-Python,https://github.com/MHKiT-Software/MHKiT-Python,MHKiT-Python,Other,5.1,0.39392
MassimoCimmino/pygfunction,https://github.com/MassimoCimmino/pygfunction,pygfunction,Other,4.0,0.36108
NREL-SIIP/InfrastructureSystems.jl,https://github.com/NREL-SIIP/InfrastructureSystems.jl,InfrastructureSystems.jl,Other,5.6,0.44788
NREL-SIIP/PowerSimulations.jl,https://github.com/NREL-SIIP/PowerSimulations.jl,PowerSimulations.jl,Modeling,5.5,0.46353
NREL-SIIP/PowerSimulationsDynamics.jl,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,PowerSimulationsDynamics.jl,Simulation,4.4,0.36061
NREL-SIIP/PowerSimulationsDynamics.jl,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,PowerSimulationsDynamics.jl,Simulation,4.4,0.36061
NREL-SIIP/PowerSystems.jl,https://github.com/NREL-SIIP/PowerSystems.jl,PowerSystems.jl,Other,5.2,0.44696
NREL/EnergyPlus,https://github.com/NREL/EnergyPlus,EnergyPlus,Other,4.5,
NREL/Industry-Energy-Tool,https://github.com/NREL/Industry-Energy-Tool,Industry Energy Tool,Other,2.7,0.23331
NREL/NRWAL,https://github.com/NREL/NRWAL,NRWAL,Other,3.5,0.35306
NREL/OpenOA,https://github.com/NREL/OpenOA,OpenOA,Other,4.6,0.39566
NREL/OpenStudio,https://github.com/NREL/OpenStudio,OpenStudio,Other,4.1,0.56265
NREL/OpenStudio-ERI,https://github.com/NREL/OpenStudio-ERI,OpenStudio-ERI,Other,2.7,0.49976
NREL/OpenStudio-HPXML,https://github.com/NREL/OpenStudio-HPXML,OpenStudio-HPXML,Other,3.4,0.50734
NREL/PV_ICE,https://github.com/NREL/PV_ICE,PV_ICE,Other,3.6,0.34002
NREL/REopt_Lite_API,https://github.com/NREL/REopt_Lite_API,REopt Lite API,Optimization,5.5,0.41849
NREL/ROSCO,https://github.com/NREL/ROSCO,ROSCO,Other,4.4,
NREL/SAM,https://github.com/NREL/SAM,System Advisor Model,Other,3.6,0.49307
NREL/SolTrace,https://github.com/NREL/SolTrace,SolTrace,Other,3.7,0.35936
NREL/SolarPILOT,https://github.com/NREL/SolarPILOT,SolarPILOT,Other,2.9,0.31027
NREL/WindSE,https://github.com/NREL/WindSE,WindSE,Other,3.4,0.29714
NREL/bifacial_radiance,https://github.com/NREL/bifacial_radiance,bifacial_radiance,Other,4.0,0.42066
NREL/bifacialvf,https://github.com/NREL/bifacialvf,bifacialvf,Other,4.0,0.3223
NREL/dgen,https://github.com/NREL/dgen,The Distributed Generation Market Demand (dGen) Model,Other,4.7,0.35633
NREL/hescore-hpxml,https://github.com/NREL/hescore-hpxml,HPXML to Home Energy Score Translator,Other,3.8,0.34509
NREL/rdtools,https://github.com/NREL/rdtools,rdtools,Other,5.9,0.41608
NREL/rdtools,https://github.com/NREL/rdtools,rdtools,Other,5.9,0.41608
NREL/reV,https://github.com/NREL/reV,reV,Other,5.1,0.45075
NREL/reVX,https://github.com/NREL/reVX,reVX,Other,5.1,0.39482
NREL/resstock,https://github.com/NREL/resstock,resstock,Other,4.2,0.50245
NewMotion/ocpp,https://github.com/NewMotion/ocpp,The Open Charge Point Protocol,Other,3.0,0.3111
OSUKED/ElexonDataPortal,https://github.com/OSUKED/ElexonDataPortal,ElexonDataPortal,Other,3.1,0.25741
OSUKED/Power-Station-Dictionary,https://github.com/OSUKED/Power-Station-Dictionary,Power Station Dictionary,Other,2.8,0.2776
OSeMOSYS/OSeMOSYS,https://github.com/OSeMOSYS/OSeMOSYS,OSeMOSYS,Modeling,3.9,0.37383
Open-Power-System-Data/conventional_power_plants,https://github.com/Open-Power-System-Data/conventional_power_plants,conventional power plants,Other,2.9,0.31406
Open-Power-System-Data/renewable_power_plants,https://github.com/Open-Power-System-Data/renewable_power_plants,renewable power plant,Other,3.4,0.31643
Open-Power-System-Data/renewable_power_plants,https://github.com/Open-Power-System-Data/renewable_power_plants,renewable power plant,Other,3.4,0.31643
Open-Power-System-Data/time_series,https://github.com/Open-Power-System-Data/time_series,time series,Other,2.9,0.30622
OpenChargingCloud/WWCP_Core,https://github.com/OpenChargingCloud/WWCP_Core,WWCP_Core,Other,4.1,0.30371
OpenChargingCloud/WWCP_OCPP,https://github.com/OpenChargingCloud/WWCP_OCPP,WWCP_OCPP,Other,4.9,0.29335
OpenEMS/openems,https://github.com/OpenEMS/openems,OpenEMS,Other,5.0,0.56394
OpenEnergyPlatform/oeplatform,https://github.com/OpenEnergyPlatform/oeplatform,Open Energy Platform,Other,4.8,0.51382
OpenEnergyPlatform/open-MaStR,https://github.com/OpenEnergyPlatform/open-MaStR,open-MaStR,Other,3.9,0.42681
OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,OpenIPSL,Other,4.7,0.39317
OpenLEADR/openleadr-python,https://github.com/OpenLEADR/openleadr-python,OpenLEADR,Interfaces,3.5,0.35338
OpenMDAO/OpenMDAO,https://github.com/OpenMDAO/OpenMDAO,OpenMDAO,Other,5.8,0.53705
OpenModelica/OpenModelica,https://github.com/OpenModelica/OpenModelica,OpenModelica,Other,4.1,0.59711
PV-Lab/BayesProcess,https://github.com/PV-Lab/BayesProcess,BayesProcess,Other,1.5,0.20528
PV-Lab/autoXRD,https://github.com/PV-Lab/autoXRD,autoXRD,Other,2.4,0.20025
PerovskiteSCModelling/IonMonger,https://github.com/PerovskiteSCModelling/IonMonger,IonMonger,Other,3.6,0.21907
Planheat/Planheat-Tool,https://github.com/Planheat/Planheat-Tool,PLANHEAT Tool,Other,1.6,0.22667
PowerGenome/PowerGenome,https://github.com/PowerGenome/PowerGenome,PowerGenome,Other,4.6,0.36686
PyPSA/PyPSA,https://github.com/PyPSA/PyPSA,PyPSA,Simulation,6.4,0.54554
PyPSA/atlite,https://github.com/PyPSA/atlite,Atlite,Other,6.8,0.41998
PyPSA/pypsa-eur,https://github.com/PyPSA/pypsa-eur,PyPSA-Eur,Simulation,5.7,0.51707
PyPSA/pypsa-eur,https://github.com/PyPSA/pypsa-eur,PyPSA-Eur,Simulation,5.7,0.51707
PyPSA/pypsa-eur-sec,https://github.com/PyPSA/pypsa-eur-sec,PyPSA-Eur-Sec,Other,3.9,0.41552
PyPSA/whobs-server,https://github.com/PyPSA/whobs-server,whobs-server,Other,3.0,0.24529
RAMP-project/RAMP,https://github.com/RAMP-project/RAMP,RAMP,Other,4.1,0.36282
RAMP-project/RAMP-mobility,https://github.com/RAMP-project/RAMP-mobility,RAMP-mobility,Other,3.4,0.3028
RIAPS/riaps-core,https://github.com/RIAPS/riaps-core,RIAPS,Platform,2.9,0.31086
RWTH-EBC/AixLib,https://github.com/RWTH-EBC/AixLib,AixLib,Other,3.5,0.46212
RWTH-EBC/TEASER,https://github.com/RWTH-EBC/TEASER,TEASER,Simulation,4.2,0.46316
RWTH-EBC/TEASER,https://github.com/RWTH-EBC/TEASER,TEASER,Simulation,4.2,0.46316
RWTH-EBC/pyCity,https://github.com/RWTH-EBC/pyCity,pyCity_base,Other,2.7,0.32231
RWTH-EBC/pyCity,https://github.com/RWTH-EBC/pyCity,pyCity_base,Other,2.7,0.32231
RamiKrispin/UKgrid,https://github.com/RamiKrispin/UKgrid,UKgrid,Other,2.6,0.19412
RamiKrispin/USgrid,https://github.com/RamiKrispin/USgrid,USgrid,Other,2.7,0.19913
RentadroneCL/Photovoltaic_Fault_Detector,https://github.com/RentadroneCL/Photovoltaic_Fault_Detector,Photovoltaic_Fault_Detector,Other,0.7,0.28192
SEED-platform/seed,https://github.com/SEED-platform/seed,SEED,Other,5.4,0.48554
SNL-WaterPower/CACTUS,https://github.com/SNL-WaterPower/CACTUS,CACTUS,Other,3.8,0.2838
SNL-WaterPower/WecOptTool,https://github.com/SNL-WaterPower/WecOptTool,WecOptTool,Other,2.6,0.23226
Samuel-Buteau/universal-battery-database,https://github.com/Samuel-Buteau/universal-battery-database,universal-battery-database,Other,1.9,0.2273
SanPen/ESIOS,https://github.com/SanPen/ESIOS,ESIOS,Other,3.0,0.2441
SanPen/GridCal,https://github.com/SanPen/GridCal,GridCal,Other,4.4,0.42969
SeitaBV/flexmeasures,https://github.com/SeitaBV/flexmeasures,FlexMeasures,Other,5.9,
SmartTensors/GeoThermalCloud.jl,https://github.com/SmartTensors/GeoThermalCloud.jl,GeoThermalCloud.jl,Other,3.3,0.31929
SolarArbiter/solarforecastarbiter-core,https://github.com/SolarArbiter/solarforecastarbiter-core,Solar Forecast Arbiter,Other,4.5,0.33311
SolarTherm/SolarTherm,https://github.com/SolarTherm/SolarTherm,SolarTherm,Other,4.1,0.41383
SonyCSL/APIS,https://github.com/SonyCSL/APIS,APIS,Other,2.6,0.23463
Spine-project/Spine-Toolbox,https://github.com/Spine-project/Spine-Toolbox,Spine-Toolbox,Other,4.2,0.48252
SunPower/PVMismatch,https://github.com/SunPower/PVMismatch,PVMismatch,Other,2.1,0.36206
SunPower/pvfactors,https://github.com/SunPower/pvfactors,pvfactors,Other,2.8,0.31246
TEB-model/teb,https://github.com/TEB-model/teb,teb,Other,2.2,0.23462
TRI-AMDD/beep,https://github.com/TRI-AMDD/beep,beep,Batteries,4.4,0.41229
TemoaProject/temoa,https://github.com/TemoaProject/temoa,Temoa,Optimization,2.9,0.41455
Thales1330/PSP,https://github.com/Thales1330/PSP,PSP-UFU,Other,2.9,0.29507
Total-RD/pymgrid,https://github.com/Total-RD/pymgrid,pymgrid,Other,2.9,0.31762
UdK-VPT/BuildingSystems,https://github.com/UdK-VPT/BuildingSystems,BuildingSystems,Other,1.8,0.38062
V2GClarity/RISE-V2G,https://github.com/V2GClarity/RISE-V2G,RISE-V2G,Other,4.1,
VOLTTRON/volttron,https://github.com/VOLTTRON/volttron,VOLTTRON,Other,4.4,0.50339
VUB-HYDR/REVUB,https://github.com/VUB-HYDR/REVUB,REVUB,Other,2.8,
WEC-Sim/WEC-Sim,https://github.com/WEC-Sim/WEC-Sim,WEC-Sim,Other,5.1,0.48487
WISDEM/AirfoilPreppy,https://github.com/WISDEM/AirfoilPreppy,AirfoilPreppy,Other,2.9,0.31609
WISDEM/LandBOSSE,https://github.com/WISDEM/LandBOSSE,LandBOSSE,Other,3.8,0.37921
WISDEM/ORBIT,https://github.com/WISDEM/ORBIT,ORBIT,Other,5.0,0.38519
WISDEM/WEIS,https://github.com/WISDEM/WEIS,WEIS,Other,4.1,0.48193
WMD-group/CarrierCapture.jl,https://github.com/WMD-group/CarrierCapture.jl,CarrierCapture.jl,Other,3.5,0.37845
YingyiLiu/HAMS,https://github.com/YingyiLiu/HAMS,HAMS,Other,2.8,0.30651
YoungFaithful/CapacityExpansion.jl,https://github.com/YoungFaithful/CapacityExpansion.jl,CapacityExpansion.jl,Other,3.1,0.32993
adamgreenhall/minpower,https://github.com/adamgreenhall/minpower,minpower,Optimization,2.1,0.25029
alliander-opensource/openstf,https://github.com/alliander-opensource/openstf,Openstf,Forecasting,4.4,0.46006
aqreed/solarpy,https://github.com/aqreed/solarpy,solarpy,Other,2.7,0.21613
